what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.gef,3.6.2.v20110110-2020,"org.eclipse.gef.ui.palette_view",1493363276227
activated,editor,au.edu.rmit.cs.PDT,0.5.0,"au.edu.rmit.cs.pdt.editors.PDTProjectEditor",1493363277159
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493363277320
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493363299495
opened,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1493363299675
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1493363305426
activated,view,org.eclipse.gef,3.6.2.v20110110-2020,"org.eclipse.gef.ui.palette_view",1493363313819
activated,editor,au.edu.rmit.cs.PDT,0.5.0,"au.edu.rmit.cs.pdt.editors.PDTProjectEditor",1493363314854
activated,view,org.eclipse.gef,3.6.2.v20110110-2020,"org.eclipse.gef.ui.palette_view",1493363317915
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493363320469
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493363323523
activated,editor,au.edu.rmit.cs.PDT,0.5.0,"au.edu.rmit.cs.pdt.editors.PDTProjectEditor",1493363324552
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493363324668
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493363338152
activated,view,org.eclipse.gef,3.6.2.v20110110-2020,"org.eclipse.gef.ui.palette_view",1493363361059
activated,editor,au.edu.rmit.cs.PDT,0.5.0,"au.edu.rmit.cs.pdt.editors.PDTProjectEditor",1493363364430
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1493363366699
activated,view,org.eclipse.gef,3.6.2.v20110110-2020,"org.eclipse.gef.ui.palette_view",1493363367913
activated,editor,au.edu.rmit.cs.PDT,0.5.0,"au.edu.rmit.cs.pdt.editors.PDTProjectEditor",1493363369759
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1493363371934
activated,editor,au.edu.rmit.cs.PDT,0.5.0,"au.edu.rmit.cs.pdt.editors.PDTProjectEditor",1493363372899
activated,view,org.eclipse.gef,3.6.2.v20110110-2020,"org.eclipse.gef.ui.palette_view",1493363374742
activated,editor,au.edu.rmit.cs.PDT,0.5.0,"au.edu.rmit.cs.pdt.editors.PDTProjectEditor",1493363376302
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493363421367
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493363426200
activated,view,org.eclipse.gef,3.6.2.v20110110-2020,"org.eclipse.gef.ui.palette_view",1493363426202
activated,editor,au.edu.rmit.cs.PDT,0.5.0,"au.edu.rmit.cs.pdt.editors.PDTProjectEditor",1493363427373
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493363427508
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493363432575
activated,view,org.eclipse.gef,3.6.2.v20110110-2020,"org.eclipse.gef.ui.palette_view",1493363439007
activated,editor,au.edu.rmit.cs.PDT,0.5.0,"au.edu.rmit.cs.pdt.editors.PDTProjectEditor",1493363440863
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493363440992
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1493363450398
activated,view,org.eclipse.gef,3.6.2.v20110110-2020,"org.eclipse.gef.ui.palette_view",1493363456163
activated,editor,au.edu.rmit.cs.PDT,0.5.0,"au.edu.rmit.cs.pdt.editors.PDTProjectEditor",1493363458422
activated,view,org.eclipse.gef,3.6.2.v20110110-2020,"org.eclipse.gef.ui.palette_view",1493363475010
activated,editor,au.edu.rmit.cs.PDT,0.5.0,"au.edu.rmit.cs.pdt.editors.PDTProjectEditor",1493363475901
activated,view,org.eclipse.gef,3.6.2.v20110110-2020,"org.eclipse.gef.ui.palette_view",1493363490101
activated,editor,au.edu.rmit.cs.PDT,0.5.0,"au.edu.rmit.cs.pdt.editors.PDTProjectEditor",1493363490680
activated,view,org.eclipse.gef,3.6.2.v20110110-2020,"org.eclipse.gef.ui.palette_view",1493363511247
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.PropertySheet",1493363513369
activated,view,org.eclipse.gef,3.6.2.v20110110-2020,"org.eclipse.gef.ui.palette_view",1493363514301
activated,editor,au.edu.rmit.cs.PDT,0.5.0,"au.edu.rmit.cs.pdt.editors.PDTProjectEditor",1493363515046
