what,kind,bundleId,bundleVersion,description,time
activated,editor,au.edu.rmit.cs.PDT,0.5.0,"au.edu.rmit.cs.pdt.editors.PDTProjectEditor",1494761217839
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1494761218003
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1494761221805
activated,view,org.eclipse.gef,3.6.1.v20100712-1224,"org.eclipse.gef.ui.palette_view",1494761237778
activated,editor,au.edu.rmit.cs.PDT,0.5.0,"au.edu.rmit.cs.pdt.editors.PDTProjectEditor",1494761244396
activated,view,org.eclipse.gef,3.6.1.v20100712-1224,"org.eclipse.gef.ui.palette_view",1494761251731
activated,editor,au.edu.rmit.cs.PDT,0.5.0,"au.edu.rmit.cs.pdt.editors.PDTProjectEditor",1494761259228
activated,view,org.eclipse.gef,3.6.1.v20100712-1224,"org.eclipse.gef.ui.palette_view",1494761289679
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1494761293224
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1494761310671
activated,editor,au.edu.rmit.cs.PDT,0.5.0,"au.edu.rmit.cs.pdt.editors.PDTProjectEditor",1494761318480
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1494761318613
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1494761376723
activated,view,org.eclipse.gef,3.6.1.v20100712-1224,"org.eclipse.gef.ui.palette_view",1494761381226
activated,editor,au.edu.rmit.cs.PDT,0.5.0,"au.edu.rmit.cs.pdt.editors.PDTProjectEditor",1494761384633
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1494761384772
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1494761409641
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1494761416872
activated,editor,au.edu.rmit.cs.PDT,0.5.0,"au.edu.rmit.cs.pdt.editors.PDTProjectEditor",1494761425885
activated,view,org.eclipse.gef,3.6.1.v20100712-1224,"org.eclipse.gef.ui.palette_view",1494761431847
activated,editor,au.edu.rmit.cs.PDT,0.5.0,"au.edu.rmit.cs.pdt.editors.PDTProjectEditor",1494761437038
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1494761437186
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1494761481694
activated,view,org.eclipse.gef,3.6.1.v20100712-1224,"org.eclipse.gef.ui.palette_view",1494761505100
activated,editor,au.edu.rmit.cs.PDT,0.5.0,"au.edu.rmit.cs.pdt.editors.PDTProjectEditor",1494761508367
activated,editor,au.edu.rmit.cs.PDT,0.5.0,"au.edu.rmit.cs.pdt.editors.PDTProjectEditor",1494761517805
